scorer,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000,DLC_resnet50_2023-08-14_TCPhase2Aug14shuffle1_500000
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,tail,tail,tail,box_ul,box_ul,box_ul,box_ur,box_ur,box_ur,box_lr,box_lr,box_lr,box_ll,box_ll,box_ll
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,86.69221496582031,21.01754379272461,0.0004584743292070925,371.242431640625,16.28558921813965,0.03599108010530472,373.1466979980469,29.58296012878418,0.9998186230659485,315.0672607421875,98.5755615234375,1.0,73.33189392089844,50.23486328125,1.0,404.6922302246094,0.2766425609588623,0.01589643768966198,294.7476501464844,220.35621643066406,1.0,240.23231506347656,228.85604858398438,1.0
1,388.7799987792969,21.693464279174805,0.003950195387005806,371.6255798339844,17.290950775146484,0.9932235479354858,373.4974365234375,33.07530975341797,0.9999992847442627,315.2998352050781,98.5755615234375,1.0,73.33189392089844,50.23486328125,1.0,405.4960632324219,0.2766425609588623,0.07098324596881866,295.1207580566406,220.8496856689453,1.0,240.35879516601562,228.85604858398438,1.0
2,388.7799987792969,21.699214935302734,0.0008216273272410035,371.6255798339844,17.78304100036621,0.9901657700538635,373.4986877441406,33.07530975341797,1.0,315.4283447265625,98.5755615234375,1.0,73.54619598388672,50.244720458984375,1.0,405.84619140625,0.2766425609588623,0.022763865068554878,295.3194885253906,221.02099609375,1.0,240.35879516601562,228.85604858398438,1.0
3,388.7799987792969,21.699214935302734,0.0009148524841293693,371.242431640625,18.13536262512207,0.9967886209487915,373.4974365234375,33.09567642211914,1.0,315.9699401855469,98.5755615234375,1.0,73.691162109375,50.25492858886719,1.0,405.67431640625,0.26097583770751953,0.0207879189401865,295.5751037597656,221.02099609375,1.0,240.69061279296875,228.7191925048828,1.0
4,377.6675720214844,35.69200897216797,0.0008304801885969937,370.78106689453125,18.31688690185547,0.9899412989616394,373.1466979980469,34.17897415161133,1.0,318.1924133300781,98.5755615234375,1.0,73.43021392822266,50.24293518066406,1.0,405.67431640625,-0.4352436065673828,0.004195843357592821,295.6535949707031,220.9766845703125,1.0,240.37689208984375,227.70863342285156,1.0
5,260.05206298828125,216.12826538085938,0.0005450409953482449,369.9925842285156,19.839494705200195,0.9690558910369873,371.9190979003906,34.44258499145508,1.0,322.6276550292969,101.22740936279297,1.0,73.43021392822266,50.24293518066406,1.0,405.67431640625,-0.5608053207397461,0.0038727743085473776,295.6535949707031,220.9766845703125,1.0,240.47500610351562,227.70863342285156,1.0
6,260.05206298828125,216.12826538085938,0.0006757765077054501,369.9925842285156,20.686613082885742,0.998795747756958,371.7971496582031,35.95705032348633,1.0,322.6276550292969,101.65872192382812,1.0,73.43021392822266,50.24293518066406,1.0,405.48095703125,-0.7388858795166016,0.0061063626781105995,295.5751037597656,220.9676971435547,1.0,240.37689208984375,227.70863342285156,1.0
7,377.6675720214844,38.19236373901367,0.0008796619949862361,369.9925842285156,24.41520881652832,0.9541048407554626,371.6933288574219,36.43480682373047,0.999998927116394,322.6276550292969,101.76795959472656,1.0,72.25142669677734,50.01058578491211,1.0,405.48095703125,-1.0228605270385742,0.0021399862598627806,295.3414306640625,220.61769104003906,1.0,240.37689208984375,228.05824279785156,1.0
8,379.96343994140625,38.19236373901367,0.002345559187233448,370.7221374511719,24.998517990112305,0.9995023012161255,371.475830078125,37.766326904296875,0.9999998807907104,321.58013916015625,101.99317169189453,1.0,71.87567901611328,49.83606719970703,1.0,405.48095703125,-1.030287265777588,0.002700126962736249,295.0975646972656,220.59371948242188,1.0,240.28904724121094,228.15472412109375,1.0
